,Orig_ID,Original_Folder,Merged_Into,Final_UID,Final_Title,Purpose
0,PR01,[:archive:] < miscellaneous << random <<< [:_:],Unsorted,,,
1,PR02,0S_S3TT1NG{Z},Unsorted,,,
2,PR03,"⊢judge arbitrate execute. “pedagogy.” class, now.⊣",Unsorted,,,
3,PR04,etCETER4,etceter4,ET01,ETCETER4,music / audio / personal practice
4,PR05,MET4vers.io <> MET4morfoses,met4morf_os,MT01,MET4morfoses,speculative fiction / transformation
5,PR06,floating_points,naming_spells,NS01,N4M1NG__SPELLS,naming systems / symbology
6,PR07,:: job = {application&correspondence&(the)hunt} ::,Unsorted,,,
7,PR08,:: [technical] _assistance _experiment _research,Unsorted,,,
8,PR09,[ ... 4 _ Bloom ],abloom,BL01,4_bl00m,creative philosophy / recursive mythology
9,PR10,4 j.P,Unsorted,,,
10,PR11,health ⊃mind ⨁ body↻ ⊕ aid ⊖ vice,Unsorted,,,
11,PR12,☿:🜁🜂🜃🜄⛤:☉⋮🜍⋮id:lore.icon.mark.trace.rite:ego,Unsorted,,,
12,PR13,¡!..concept..¡..fragment..!..moment..¡..scrap..!¡,Unsorted,,,
13,PR14,{ ∞ ( ~ ¿? [family◡◠friend◠◡flame◡◠foe] ¿? ~ ) ∞ },Unsorted,,,
14,PR15,^.^ cuisine < (diet + food) > recipe ^.^,Unsorted,,,
15,PR16,[marketing [concept <> composition <> community]],Unsorted,,,
16,PR17,∑ business = (develop +(grow * amplify))+ yield ∑,Unsorted,,,
17,PR18,QUEER,etceter4,ET01,ETCETER4,music / audio / personal practice
18,PR19,GRINDER,gr1nd3r,GR01,GR1ND3R,psych horror / dread aesthetic
19,PR20,`:::4RK•1V3:: ....[RK•01]`,Unsorted,,,
20,PR21,`::1NTRO•ZON3:: ....[IZ•01]`,Unsorted,,,
21,PR22,`::TR4NS•MVT3:: ....[TR•01]`,tr4nsmvt3,TR01,TR4NSMVT3,movement / gesture / flux
22,PR23,`:::B3l4B0VRD[\VV/4G3::::`,Unsorted,,,
23,PR24,`:::BR4ND]][[33K00]::::`,Unsorted,,,
24,PR25,`:::!3G4L]][[T3ND3R::::`,Unsorted,,,
25,PR26,`:::&4ll]][[4K4..D3M1X::::`,Unsorted,,,
26,PR27,`:::MYTH.0S__C0R3::`,Unsorted,,,
27,PR28,`:::SYMB0l1C__4RK::`,Unsorted,,,
28,PR29,`:::SY.ST3MS__TH30RY::`,Unsorted,,,
29,PR30,`:::CR34T3.VS::`,Unsorted,,,
30,PR31,`:::>>3P0CH > MYTH > CYCL3<<::`,Unsorted,,,
31,PR32,`:::M3T4__SY.ST3MS::`,Unsorted,,,
32,PR33,`:::RH3T0R1C&&&&S3M10T1CS::`,Unsorted,,,
33,PR34,`:::R3CVRS1V3__F1ll::`,Unsorted,,,
34,PR35,`:::GR4NT&&&&PR0P0S3::`,Unsorted,,,
