Original ID,Original Folder Title,Assigned Final Folder,Proposed Merge Target,Merge Type,Reason/Notes
PR01,[:archive:] < miscellaneous << random <<< [:_:],4rkl1v,4rkl1v,Symbolic Merge,Mapped based on keywords: archive of symbolic lifeforce
PR02,0S_S3TT1NG{Z},rege_os,rege_os,Symbolic Merge,Mapped based on keywords: system architecture / protocol logic
PR03,"⊢judge arbitrate execute. “pedagogy.” class, now.⊣",theory_crit,theory_crit,Symbolic Merge,Mapped based on keywords: academic theory / critique / reflection
PR04,etCETER4,etceter4,etceter4,Symbolic Merge,Mapped based on keywords: music / audio / personal practice
PR05,MET4vers.io <> MET4morfoses,met4morf_os,met4morf_os,Symbolic Merge,Mapped based on keywords: speculative fiction / transformation
PR06,floating_points,naming_spells,naming_spells,Symbolic Merge,Mapped based on keywords: naming systems / symbology
PR07,:: job = {application&correspondence&(the)hunt} ::,pr0j_br4nds,pr0j_br4nds,Symbolic Merge,Mapped based on keywords: branding / decks / commerce
PR08,:: [technical] _assistance _experiment _research,rege_os,rege_os,Symbolic Merge,Mapped based on keywords: system architecture / protocol logic
PR09,[ ... 4 _ Bloom ],abloom,abloom,Symbolic Merge,Mapped based on keywords: creative philosophy / recursive mythology
PR10,4 j.P,mirror,mirror,Symbolic Merge,Mapped based on keywords: shadow self / double / inner critic
PR11,health ⊃mind ⨁ body↻ ⊕ aid ⊖ vice,tr4nsmvt3,tr4nsmvt3,Symbolic Merge,Mapped based on keywords: movement / gesture / flux
PR12,☿:🜁🜂🜃🜄⛤:☉⋮🜍⋮id:lore.icon.mark.trace.rite:ego,naming_spells,naming_spells,Symbolic Merge,Mapped based on keywords: naming systems / symbology
PR13,¡!..concept..¡..fragment..!..moment..¡..scrap..!¡,etceter4,etceter4,Symbolic Merge,Mapped based on keywords: music / audio / personal practice
PR14,{ ∞ ( ~ ¿? [family◡◠friend◠◡flame◡◠foe] ¿? ~ ) ∞ },char_engine,char_engine,Symbolic Merge,Mapped based on keywords: character logic / persona synthesis
PR15,^.^ cuisine < (diet + food) > recipe ^.^,etceter4,etceter4,Symbolic Merge,Mapped based on keywords: music / audio / personal practice
PR16,[marketing [concept <> composition <> community]],pr0j_br4nds,pr0j_br4nds,Symbolic Merge,Mapped based on keywords: branding / decks / commerce
PR17,∑ business = (develop +(grow * amplify))+ yield ∑,pr0j_br4nds,pr0j_br4nds,Symbolic Merge,Mapped based on keywords: branding / decks / commerce
PR18,QUEER,qvv33r,qvv33r,Symbolic Merge,Mapped based on keywords: queer theory / narrative / archive
PR19,GRINDER,gr1nd3r,gr1nd3r,Symbolic Merge,Mapped based on keywords: psych horror / dread aesthetic
PR20,`:::4RK•1V3:: ....[RK•01]`,4rkl1v,4rkl1v,Symbolic Merge,Mapped based on keywords: archive of symbolic lifeforce
PR21,`::1NTRO•ZON3:: ....[IZ•01]`,intr4_z0ne,intr4_z0ne,Symbolic Merge,Mapped based on keywords: thresholds / liminality / edges
PR22,`::TR4NS•MVT3:: ....[TR•01]`,tr4nsmvt3,tr4nsmvt3,Symbolic Merge,Mapped based on keywords: movement / gesture / flux
PR23,`:::B3l4B0VRD[\VV/4G3::::`,pr0j_br4nds,pr0j_br4nds,Symbolic Merge,Mapped based on keywords: branding / decks / commerce
PR24,`:::BR4ND]][[33K00]::::`,pr0j_br4nds,pr0j_br4nds,Symbolic Merge,Mapped based on keywords: branding / decks / commerce
PR25,`:::!3G4L]][[T3ND3R::::`,pr0j_br4nds,pr0j_br4nds,Symbolic Merge,Mapped based on keywords: branding / decks / commerce
PR26,`:::&4ll]][[4K4..D3M1X::::`,hydr4,hydr4,Symbolic Merge,Mapped based on keywords: overall recursive system
PR27,`:::MYTH.0S__C0R3::`,abloom,abloom,Symbolic Merge,Mapped based on keywords: creative philosophy / recursive mythology
PR28,`:::SYMB0l1C__4RK::`,naming_spells,naming_spells,Symbolic Merge,Mapped based on keywords: naming systems / symbology
PR29,`:::SY.ST3MS__TH30RY::`,rege_os,rege_os,Symbolic Merge,Mapped based on keywords: system architecture / protocol logic
PR30,`:::CR34T3.VS::`,met4morf_os,met4morf_os,Symbolic Merge,Mapped based on keywords: speculative fiction / transformation
PR31,`:::>>3P0CH > MYTH > CYCL3<<::`,canon_timeline,canon_timeline,Symbolic Merge,Mapped based on keywords: meta timelines / project continuity
PR32,`:::M3T4__SY.ST3MS::`,hydr4,hydr4,Symbolic Merge,Mapped based on keywords: overall recursive system
PR33,`:::RH3T0R1C&&&&S3M10T1CS::`,theory_crit,theory_crit,Symbolic Merge,Mapped based on keywords: academic theory / critique / reflection
PR34,`:::R3CVRS1V3__F1ll::`,hydr4,hydr4,Symbolic Merge,Mapped based on keywords: overall recursive system
PR35,`:::GR4NT&&&&PR0P0S3::`,pr0j_br4nds,pr0j_br4nds,Symbolic Merge,Mapped based on keywords: branding / decks / commerce
