Unit,Focus,Announcement Type,Scheduled Date
Unit 1,Orientation & Email Etiquette,Kickoff,2025-05-13 08:00
Unit 1,Orientation & Email Etiquette,Reminder,2025-05-16 08:00
Unit 1.2–1.4,Document Formatting & Academic Integrity,Kickoff,2025-05-19 08:00
Unit 1.2–1.4,Document Formatting & Academic Integrity,Reminder,2025-05-22 08:00
Unit 2,Narrative Essay: Planning & Prewriting,Kickoff,2025-05-25 08:00
Unit 2,Narrative Essay: Planning & Prewriting,Reminder,2025-05-28 08:00
Unit 2,Narrative Essay: Finalizing & Submitting,Kickoff,2025-05-31 08:00
Unit 2,Narrative Essay: Finalizing & Submitting,Reminder,2025-06-03 08:00
Unit 3,Evaluation Essay: Understanding & Drafting,Kickoff,2025-06-06 08:00
Unit 3,Evaluation Essay: Understanding & Drafting,Reminder,2025-06-09 08:00
Unit 3,Evaluation Essay: Peer Review & Final,Kickoff,2025-06-12 08:00
Unit 3,Evaluation Essay: Peer Review & Final,Reminder,2025-06-15 08:00
Unit 4,Research Essay: Topic & Source Gathering,Kickoff,2025-06-18 08:00
Unit 4,Research Essay: Topic & Source Gathering,Reminder,2025-06-21 08:00
Unit 4,"Research Essay: Drafting, Citing, Finalizing",Kickoff,2025-06-24 08:00
Unit 4,"Research Essay: Drafting, Citing, Finalizing",Reminder,2025-06-27 08:00
