Original ID,Original Folder Title,Assigned Final Folder,Proposed Merge Target,Merge Type,Reason/Notes
PR01,[:archive:] < miscellaneous << random <<< [:_:],Unsorted,Unsorted,,
PR02,0S_S3TT1NG{Z},Unsorted,Unsorted,,
PR03,"⊢judge arbitrate execute. “pedagogy.” class, now.⊣",Unsorted,Unsorted,,
PR04,etCETER4,etceter4,etceter4,,
PR05,MET4vers.io <> MET4morfoses,met4morf_os,met4morf_os,,
PR06,floating_points,naming_spells,naming_spells,,
PR07,:: job = {application&correspondence&(the)hunt} ::,Unsorted,Unsorted,,
PR08,:: [technical] _assistance _experiment _research,Unsorted,Unsorted,,
PR09,[ ... 4 _ Bloom ],abloom,abloom,,
PR10,4 j.P,Unsorted,Unsorted,,
PR11,health ⊃mind ⨁ body↻ ⊕ aid ⊖ vice,Unsorted,Unsorted,,
PR12,☿:🜁🜂🜃🜄⛤:☉⋮🜍⋮id:lore.icon.mark.trace.rite:ego,Unsorted,Unsorted,,
PR13,¡!..concept..¡..fragment..!..moment..¡..scrap..!¡,Unsorted,Unsorted,,
PR14,{ ∞ ( ~ ¿? [family◡◠friend◠◡flame◡◠foe] ¿? ~ ) ∞ },Unsorted,Unsorted,,
PR15,^.^ cuisine < (diet + food) > recipe ^.^,Unsorted,Unsorted,,
PR16,[marketing [concept <> composition <> community]],Unsorted,Unsorted,,
PR17,∑ business = (develop +(grow * amplify))+ yield ∑,Unsorted,Unsorted,,
PR18,QUEER,etceter4,etceter4,,
PR19,GRINDER,gr1nd3r,gr1nd3r,,
PR20,`:::4RK•1V3:: ....[RK•01]`,Unsorted,Unsorted,,
PR21,`::1NTRO•ZON3:: ....[IZ•01]`,Unsorted,Unsorted,,
PR22,`::TR4NS•MVT3:: ....[TR•01]`,tr4nsmvt3,tr4nsmvt3,,
PR23,`:::B3l4B0VRD[\VV/4G3::::`,Unsorted,Unsorted,,
PR24,`:::BR4ND]][[33K00]::::`,Unsorted,Unsorted,,
PR25,`:::!3G4L]][[T3ND3R::::`,Unsorted,Unsorted,,
PR26,`:::&4ll]][[4K4..D3M1X::::`,Unsorted,Unsorted,,
PR27,`:::MYTH.0S__C0R3::`,Unsorted,Unsorted,,
PR28,`:::SYMB0l1C__4RK::`,Unsorted,Unsorted,,
PR29,`:::SY.ST3MS__TH30RY::`,Unsorted,Unsorted,,
PR30,`:::CR34T3.VS::`,Unsorted,Unsorted,,
PR31,`:::>>3P0CH > MYTH > CYCL3<<::`,Unsorted,Unsorted,,
PR32,`:::M3T4__SY.ST3MS::`,Unsorted,Unsorted,,
PR33,`:::RH3T0R1C&&&&S3M10T1CS::`,Unsorted,Unsorted,,
PR34,`:::R3CVRS1V3__F1ll::`,Unsorted,Unsorted,,
PR35,`:::GR4NT&&&&PR0P0S3::`,Unsorted,Unsorted,,
