,Orig_ID,Original_Folder,Merged_Into,Final_UID,Final_Title,Purpose
0,PR01,[:archive:] < miscellaneous << random <<< [:_:],4rkl1v,RK01,4RKL1V,archive of symbolic lifeforce
1,PR02,0S_S3TT1NG{Z},rege_os,RG01,RE:GE_OS,system architecture / protocol logic
2,PR03,"⊢judge arbitrate execute. “pedagogy.” class, now.⊣",theory_crit,TC01,THEORY__CR1T,academic theory / critique / reflection
3,PR04,etCETER4,etceter4,ET01,ETCETER4,music / audio / personal practice
4,PR05,MET4vers.io <> MET4morfoses,met4morf_os,MT01,MET4morfoses,speculative fiction / transformation
5,PR06,floating_points,naming_spells,NS01,N4M1NG__SPELLS,naming systems / symbology
6,PR07,:: job = {application&correspondence&(the)hunt} ::,pr0j_br4nds,PB01,PR0J__BR4NDS,branding / decks / commerce
7,PR08,:: [technical] _assistance _experiment _research,rege_os,RG01,RE:GE_OS,system architecture / protocol logic
8,PR09,[ ... 4 _ Bloom ],abloom,BL01,4_bl00m,creative philosophy / recursive mythology
9,PR10,4 j.P,mirror,MR01,M1RR0R,shadow self / double / inner critic
10,PR11,health ⊃mind ⨁ body↻ ⊕ aid ⊖ vice,tr4nsmvt3,TR01,TR4NSMVT3,movement / gesture / flux
11,PR12,☿:🜁🜂🜃🜄⛤:☉⋮🜍⋮id:lore.icon.mark.trace.rite:ego,naming_spells,NS01,N4M1NG__SPELLS,naming systems / symbology
12,PR13,¡!..concept..¡..fragment..!..moment..¡..scrap..!¡,etceter4,ET01,ETCETER4,music / audio / personal practice
13,PR14,{ ∞ ( ~ ¿? [family◡◠friend◠◡flame◡◠foe] ¿? ~ ) ∞ },char_engine,CE01,CH4R_ENGINE,character logic / persona synthesis
14,PR15,^.^ cuisine < (diet + food) > recipe ^.^,etceter4,ET01,ETCETER4,music / audio / personal practice
15,PR16,[marketing [concept <> composition <> community]],pr0j_br4nds,PB01,PR0J__BR4NDS,branding / decks / commerce
16,PR17,∑ business = (develop +(grow * amplify))+ yield ∑,pr0j_br4nds,PB01,PR0J__BR4NDS,branding / decks / commerce
17,PR18,QUEER,qvv33r,QV01,Qvv33R,queer theory / narrative / archive
18,PR19,GRINDER,gr1nd3r,GR01,GR1ND3R,psych horror / dread aesthetic
19,PR20,`:::4RK•1V3:: ....[RK•01]`,4rkl1v,RK01,4RKL1V,archive of symbolic lifeforce
20,PR21,`::1NTRO•ZON3:: ....[IZ•01]`,intr4_z0ne,IZ01,INTR4__Z0N3,thresholds / liminality / edges
21,PR22,`::TR4NS•MVT3:: ....[TR•01]`,tr4nsmvt3,TR01,TR4NSMVT3,movement / gesture / flux
22,PR23,`:::B3l4B0VRD[\VV/4G3::::`,pr0j_br4nds,PB01,PR0J__BR4NDS,branding / decks / commerce
23,PR24,`:::BR4ND]][[33K00]::::`,pr0j_br4nds,PB01,PR0J__BR4NDS,branding / decks / commerce
24,PR25,`:::!3G4L]][[T3ND3R::::`,pr0j_br4nds,PB01,PR0J__BR4NDS,branding / decks / commerce
25,PR26,`:::&4ll]][[4K4..D3M1X::::`,hydr4,HYDR4,HYDR4,overall recursive system
26,PR27,`:::MYTH.0S__C0R3::`,abloom,BL01,4_bl00m,creative philosophy / recursive mythology
27,PR28,`:::SYMB0l1C__4RK::`,naming_spells,NS01,N4M1NG__SPELLS,naming systems / symbology
28,PR29,`:::SY.ST3MS__TH30RY::`,rege_os,RG01,RE:GE_OS,system architecture / protocol logic
29,PR30,`:::CR34T3.VS::`,met4morf_os,MT01,MET4morfoses,speculative fiction / transformation
30,PR31,`:::>>3P0CH > MYTH > CYCL3<<::`,canon_timeline,CT01,C4N0N_TIM3L1NE,meta timelines / project continuity
31,PR32,`:::M3T4__SY.ST3MS::`,hydr4,HYDR4,HYDR4,overall recursive system
32,PR33,`:::RH3T0R1C&&&&S3M10T1CS::`,theory_crit,TC01,THEORY__CR1T,academic theory / critique / reflection
33,PR34,`:::R3CVRS1V3__F1ll::`,hydr4,HYDR4,HYDR4,overall recursive system
34,PR35,`:::GR4NT&&&&PR0P0S3::`,pr0j_br4nds,PB01,PR0J__BR4NDS,branding / decks / commerce
