issue_type,path,details
name/content mismatch,SYMBOLIC_TREE_MAP.md,
name/content mismatch,FOLDER_CATALOG_FINAL.md,
name/content mismatch,THR_SYSTEM_CORE.md,
name/content mismatch,walk_compare.py,
name/content mismatch,THREAD_PROJECT_CROSSWALK.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/AAW_CORE_10 ΓÇö GENEALOGY ENGINE.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/AAW_CORE_11 ΓÇö FAILURE STUDY CHAMBER.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_ORG_BODY_09_ECHO_SHELL.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_ORG_BODY_05_RITUAL_COURT.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_ORG_BODY_06_CODE_FORGE.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_4NTHOLOGY_INIT.v1.0.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_ORG_BODY_03_MYTHIC_SENATE.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_ORG_BODY_19_PROCESS_PRODUCT_CONV.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_ORG_BODY_02_MIRROR_CABINET.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_ORG_BODY_22_PUBLISHING_TEMPLE.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_ORG_BODY_15_AUDIENCE_ENGINE.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_ORG_BODY_18_ANALOG_DIGITAL_ENGIN.md,
name/content mismatch,; RE•GE•OS ; RG•01 ;.zip!; REΓÇóGEΓÇóOS ; RGΓÇó01 ;/RE-GE_ORG_BODY_14_PROCESS_MONETIZER.md,
